System,System_ID,PACCAR_ID,Address,Name,City,Region,Country,Postal_Code
PTS,,79876AB,1 SYMBOL PLACE,SYMBOL TECHNOLOGIES INC,HOLTSVILLE,NY,USA,11742
CASS,T,UNK,1 TECHNOLOGY DR,LINN STATE TECH COLLEGE,LINN,MO,US,65051
CASS,W,2250,1 TOM MIX DR,GKN SINTER METALS,DU BOIS,PA,US,15801
SAP S4,SAP S4,300387,1 TOWER PLACE SUITE 1100,"SUCCESSFACTORS, INC.",SOUTH SAN FRANCISCO,CA,US,94080
SAP S4,SAP S4,302666,1 TRINITY PLACE,TRINITY UNIVERSITY,SAN ANTONIO,TX,US,78212
SAP S4,SAP S4,303375,1 UNIVERSITY AVENUE,TRINE UNIVERSITY,ANGOLA,IN,US,46703
SAP S4,SAP S4,302675,1 UNIVERSITY OF ARKANSAS,UNIVERSITY OF ARKANSAS,FAYETTEVILLE,AR,US,72701
CASS,P,UNK,1 UPLAND RD,UTI CAMPUS,NORWOOD,MA,US,2062
CASS,P,UNK,1 WARD WAY,JP RIVARD,NORTH CHELMSFORD,MA,US,1863
CASS,W,UNK,1 WATERTANK PL,PITTSBURG TANK & TOWER,HENDERSON,KY,US,42420
CASS,P,21546AA,1 WEILSE RD JIUTUNG SONGJIANG,SHANGHAI VELLE AUT,SHANGHAI,XX,CN,201615
CASS,P,H519,1 WEST ALEXANDER RD,HUNTER PETERBILT   WHEELING,VALLEY GROVE,WV,US,26060
CASS,P,H519,1 WEST ALEXANDER RD,HUNTER PETERBILT   WHEELING,VALLEY GROVE,WV,US,26060
SAP S4,SAP S4,H519,1 WEST ALEXANDER RD,HUNTER TRUCK - WHEELING,VALLEY GROVE,WV,US,26060
PTS,,H519,1 West Alexander Road,Hunter Peterbilt-Wheeling,VALLEY GROVE,WV,USA,26060
CASS,W,3394,1 WHATNEY,SUNRAY LIGHTING,IRVINE,CA,US,92602
PTS,,3394,1 WHATNEY,SUNRAY LIGHTING,IRVINE,CA,USA,92602
CASS,T,UNK,1 YOKOHAMA BLVD,YOKOHAMA TIRE MFG LLC,WEST POINT,MS,US,39773
CASS,P,UNK,1 ZENEX CIRCLE,ZENEX INTERNATIONAL,CLEVELAND,OH,US,44146
PTS,,28864AA,"1,1715 27 AVENUE NE",EMSCAN CORPORATION,CALGARY,AB,CA    ,T2E7E1
CASS,P,UNK,"1,2,3FL NO6 ALLEY 46 SEC 2 LI H",CHIN LANG AUTOPARIS CO LTD,NEW TAIPEI,XX,TW,241
CASS,W,C0900,"1,KUIHYUN-DONG",VOLVO CONSTRUCTION EQUIPMENT,KUIHYUN-DONG,XX,KR,
KW Australia,,7008908,1/12 Marriot Street,Intellitec,Oakleigh,VIC,AU    ,3166
PPD Australia,,7166464,1/25 JESICA RD,BELTON SUSPENSION COMPONENTS,CAMPBELLFIELD,VIC,AU    ,3061
KW Australia,,7008940,1/37 Hosie Street,Composite Materials Engineering Pty Ltd (CME),Bayswater  ,VIC,AU    ,3153
CASS,P,UNK,10  VIA BREDA,LEONI ITALY SRL,MONTICELLI,XX,IT,29010
CASS,P,UNK,10 933 MCLEOD AVE,COLLISION WERX,WINNIPEG,MB,CA,R2G0Y4
SAP S4,SAP S4,305587,10 ALLEE DES BRISES DU FLEUVE,APICS,VERDUN,QC,CA,H4G 3M4
SAP S4,SAP S4,305497,10 ALLEN ROAD,COLLABERA INC,BASKING RIDGE,NJ,US,7920
